Reported Lost,State ,Year
41515,AU-ACT,2017
405945,New South Wales,2017
9302,Northern Territory,2017
285948,Queensland,2017
69407,South Australia,2017
47703,AU-TAS,2017
225001,Victoria,2017
136561,Western Australia,2017
72955,AU-ACT,2018
736640,New South Wales,2018
17443,Northern Territory,2018
550412,Queensland,2018
227350,South Australia,2018
34770,AU-TAS,2018
551350,Victoria,2018
275592,Western Australia,2018
65300,AU-ACT,2019
1009953,New South Wales,2019
73551,Northern Territory,2019
633156,Queensland,2019
230985,South Australia,2019
52000,AU-TAS,2019
1034916,Victoria,2019
360647,Western Australia,2019
251718,AU-ACT,2020
2040380,New South Wales,2020
52263,Northern Territory,2020
1426894,Queensland,2020
365899,South Australia,2020
146952,AU-TAS,2020
2022630,Victoria,2020
463323,Western Australia,2020
